accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,max_ma,min_ma,reference_no,Longitude,latitude,cc,paleomodel,paleolng,paleolat,geoplate
Apteryx,,genus,39304,Holocene,0.0117,0,57646,175.063339,-38.381111,NZ,gp_mid,175.06,-38.38,806
Ergilornithidae,,family,39494,Oligocene,28.4,23.03,57669,57.181389,50.298058,KZ,gp_mid,56.29,45.62,302
Palaeognathae,,superorder,39261,Eocene,38,33.9,57798,-56.645832,-64.241943,AA,gp_mid,-66.25,-62.82,803
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,58178,-70,-50,AR,gp_mid,-67.65,-49.34,291
Dromaius novaehollandiae,,species,164088,Pleistocene,2.588,0.0117,58701,140.766663,-36.965279,AU,gp_mid,140.88,-37.59,801
Dromaius novaehollandiae,,species,164088,Pleistocene,2.588,0.0117,36547,140.869446,-36.998611,AU,gp_mid,140.99,-37.62,801
Dromaius novaehollandiae,,species,164088,Pleistocene,2.588,0.0117,58806,140.766663,-36.965279,AU,gp_mid,140.88,-37.59,801
Anomalopteryx didiformis,,species,335241,Holocene,0.0117,0,60481,176.550003,-39.25,NZ,gp_mid,176.55,-39.25,806
Dinornis,,genus,39297,Holocene,0.0117,0,60544,168.366669,-44.849998,NZ,gp_mid,168.37,-44.85,807
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,60544,168.366669,-44.849998,NZ,gp_mid,168.37,-44.85,807
Anomalopteryx didiformis,,species,335241,Holocene,0.0117,0,60544,168.366669,-44.849998,NZ,gp_mid,168.37,-44.85,807
Megalapteryx didinus,,species,369701,Holocene,0.0117,0,60544,168.366669,-44.849998,NZ,gp_mid,168.37,-44.85,807
Aepyornis,,genus,39293,Holocene,0.0117,0,60479,45.60611,-22.50111,MG,gp_mid,45.61,-22.5,702
Euryapteryx geranoides,,species,143733,Pleistocene,0.126,0,60969,172.809006,-40.883141,NZ,gp_mid,172.81,-40.88,806
Dinornis novaezealandiae,,species,369698,Pleistocene,0.126,0,60969,172.809006,-40.883141,NZ,gp_mid,172.81,-40.88,806
Pachyornis australis,,species,401554,Pleistocene,0.126,0,60969,172.809006,-40.883141,NZ,gp_mid,172.81,-40.88,806
Apteryx,,genus,39304,Pleistocene,0.126,0,60969,172.809006,-40.883141,NZ,gp_mid,172.81,-40.88,806
Anomalopteryx didiformis,,species,335241,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Pachyornis,,genus,39301,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Apteryx,,genus,39304,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Dinornithiformes,,order,39294,Pleistocene,0.126,0,60969,172.901108,-41,NZ,gp_mid,172.9,-41,806
Euryapteryx,,genus,39299,Pleistocene,0.126,0,60969,172.901108,-41,NZ,gp_mid,172.9,-41,806
Dinornis struthoides,,species,143738,Pleistocene,0.126,0,60969,172.901108,-41,NZ,gp_mid,172.9,-41,806
Anomalopteryx didiformis,,species,335241,Pleistocene,0.126,0,60969,172.901108,-41,NZ,gp_mid,172.9,-41,806
Pachyornis elephantopus,,species,143730,Pleistocene,0.126,0,60969,172.901108,-41.018333,NZ,gp_mid,172.9,-41.02,806
Anomalopteryx didiformis,,species,335241,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Pachyornis elephantopus,,species,143730,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Dinornis struthoides,,species,143738,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Dinornithiformes,,order,39294,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Euryapteryx geranoides,,species,143733,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Megalapteryx didinus,,species,369701,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Apteryx,,genus,39304,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Pachyornis australis,,species,401554,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Pachyornis elephantopus,,species,143730,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Anomalopteryx didiformis,,species,335241,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Megalapteryx didinus,,species,369701,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Euryapteryx geranoides,,species,143733,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Pachyornis,,genus,39301,Pleistocene,2.588,0,60969,172.916565,-41.021183,NZ,gp_mid,173.32,-41.38,806
Apteryx,,genus,39304,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Dinornithiformes,,order,39294,Pleistocene,0.126,0,60969,172.916565,-41.021183,NZ,gp_mid,172.92,-41.02,806
Emuarius gidju,,species,53358,Miocene,23.03,15.97,61085,146.492294,-26.8507,AU,gp_mid,149.18,-36.83,801
Dromaius novaehollandiae,,species,164088,Pleistocene,0.126,0.0117,60529,132.689194,-31.952801,AU,gp_mid,132.69,-31.95,801
Struthio asiaticus,,species,223880,Miocene,13.82,11.62,60839,33.013058,46.779446,UA,gp_mid,33.63,44.06,302
Opisthodactylus kirchneri,,species,353499,Miocene,6.8,3,62319,-66.033333,-26.683332,AR,gp_mid,-64.93,-26.45,291
Struthio,,genus,39278,Miocene,11.62,7.246,62968,28.685955,47.250313,MD,gp_mid,29.24,45.4,302
Rhea americana,,species,83730,Holocene,0.0117,0,62994,-64.04528,-27.81889,AR,gp_mid,-64.05,-27.82,291
Eudromia,,genus,39269,Pleistocene,0.126,0,64442,-58.695278,-34.913334,AR,gp_mid,-58.7,-34.91,202
Rheidae,,family,39283,Pleistocene,0.126,0.0117,64443,-62.559723,-31.045,AR,gp_mid,-62.56,-31.05,202
Struthio,,genus,39278,Pliocene,3.6,2.588,64486,30.317053,30.370766,EG,gp_mid,,,N/A
Amphipelargus,,genus,39495,Miocene,8.7,5.333,65728,23.473372,40.034824,GR,gp_mid,24.2,38.13,308
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Emeus crassus,,species,143735,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Emeidae,,family,143729,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Dinornis giganteus,,species,143739,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Apteryx australis,,species,369211,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Apteryx,,genus,39304,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Emeus crassus,,species,143735,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Emeidae,,family,143729,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Apteryx australis,,species,369211,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Apteryx,,genus,39304,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Apteryx australis,,species,369211,Holocene,0.0117,0,66128,174.195007,-41.7225,NZ,gp_mid,174.2,-41.72,806
Aepyornis,,genus,39293,Pleistocene,0.126,0,66293,43.976849,-22.91367,MG,gp_mid,43.98,-22.91,702
Aepyornis,,genus,39293,Pleistocene,0.126,0,66297,47.833332,-16.316668,MG,gp_mid,47.83,-16.32,702
Mullerornis,,genus,158291,Pleistocene,0.126,0,66297,47.833332,-16.316668,MG,gp_mid,47.83,-16.32,702
Aepyornis,,genus,39293,Pleistocene,0.126,0,66297,47.033333,-19.866667,MG,gp_mid,47.03,-19.87,702
Mullerornis,,genus,158291,Pleistocene,0.126,0,66297,47.033333,-19.866667,MG,gp_mid,47.03,-19.87,702
Aepyornis,,genus,39293,Holocene,0.0117,0,66297,44.733334,-22.083332,MG,gp_mid,44.73,-22.08,702
Mullerornis,,genus,158291,Holocene,0.0117,0,66297,44.733334,-22.083332,MG,gp_mid,44.73,-22.08,702
Apteryx australis,,species,369211,Holocene,0.0117,0,66377,167.764999,-46.924999,NZ,gp_mid,167.76,-46.92,807
Struthio karatheodoris,,species,369682,Miocene,11.608,5.333,72832,23.317223,38.921112,GR,gp_mid,24.11,36.74,307
Struthio karatheodoris,,species,369682,Miocene,11.608,5.333,67327,23.475834,41.460556,BG,gp_mid,24.34,39.28,308
Struthio karatheodoris,,species,369682,Miocene,11.608,5.333,67327,23.866667,41.5,BG,gp_mid,24.72,39.31,308
Struthio karatheodoris,,species,369682,MN 11,8.7,7.75,67329,23.700001,40.233334,GR,gp_mid,24.52,38.05,308
Calciavis grandei,,species,379324,Eocene,55.8,50.3,67483,-110.666664,41.666668,US,gp_mid,-84.1,50.02,101
Struthio,,genus,39278,Pliocene,5.333,3.6,67604,29.9275,46.803612,MD,gp_mid,30.14,45.99,302
Struthio camelus,,species,223891,Pleistocene,0.781,0.0117,67654,26.0695,-28.7682,ZA,gp_mid,26.07,-28.77,701
Nothura,,genus,39271,Miocene,6.8,4,67741,-61.695278,-38.966946,AR,gp_mid,-60.8,-38.78,202
Eudromia elegans,,species,399853,Miocene,6.8,4,67741,-61.695278,-38.966946,AR,gp_mid,-60.8,-38.78,202
Eudromia olsoni,,species,246669,Miocene,6.8,4,67741,-61.695278,-38.966946,AR,gp_mid,-60.8,-38.78,202
Heterorhea dabbenei,,species,246675,Miocene,6.8,4,67741,-61.695278,-38.966946,AR,gp_mid,-60.8,-38.78,202
Hinasuri nehuensis,,species,380826,Miocene,6.8,4,67741,-61.695278,-38.966946,AR,gp_mid,-60.8,-38.78,202
Nothura darwinii,,species,372661,Pleistocene,0.781,0.126,67741,-61.766666,-38.5,AR,gp_mid,-61.77,-38.5,202
Lithornithidae,,family,98813,Paleocene,61.6,59.2,68780,4.999722,50.711109,BE,gp_mid,12.55,40.14,315
Lithornithidae,,family,98813,Paleocene,59.2,56,68780,3.169167,50.526669,FR,gp_mid,10.83,40.51,315
Struthio,,genus,39278,Miocene,11.608,5.333,69231,26.906389,37.727501,GR,gp_mid,27.33,36.1,504
Aepyornis hildebrandti,,species,369788,Pleistocene,0.126,0.0117,70217,47.166668,-19.6,MG,gp_mid,47.17,-19.6,702
Mullerornis,,genus,158291,Pleistocene,0.126,0.0117,70217,47.166668,-19.6,MG,gp_mid,47.17,-19.6,702
Aepyornis hildebrandti,,species,369788,Pleistocene,0.126,0.0117,70217,47.166668,-19.6,MG,gp_mid,47.17,-19.6,702
Mullerornis,,genus,158291,Pleistocene,0.126,0.0117,70217,47.166668,-19.6,MG,gp_mid,47.17,-19.6,702
Struthio chersonensis,,species,246672,MN 16,3.2,2.588,70370,22.945833,39.366669,GR,gp_mid,23.26,38.55,307
Rhea,,genus,83729,Miocene,21,17.5,70727,-68.544998,-34.961666,AR,gp_mid,-64.67,-34.4,291
Struthio asiaticus,,species,223880,MN 12,7.75,7.246,71048,30.42639,46.897221,UA,gp_mid,30.78,45.47,302
Crypturellus reai,,species,401221,Miocene,17.5,16.3,71245,-69.216667,-50.549999,AR,gp_mid,-66.93,-49.92,291
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,72465,-71.900002,-47.52,AR,gp_mid,-69.32,-46.8,291
Struthio,,genus,39278,Miocene,11.608,5.333,72518,-6.555556,31.060556,MA,gp_mid,-5.4,29.68,714
Dromaius novaehollandiae,,species,164088,Pleistocene,0.126,0.0117,72520,148.349106,-21.708883,AU,gp_mid,148.35,-21.71,801
Dromaius novaehollandiae,,species,164088,Pleistocene,0.126,0.0117,72520,148.349106,-21.708883,AU,gp_mid,148.35,-21.71,801
Nothura,,genus,39271,Pleistocene,0.781,0.012,72593,-59.115555,-38.196667,AR,gp_mid,-59.12,-38.2,202
Eudromia,,genus,39269,Pleistocene,0.781,0.012,72593,-59.115555,-38.196667,AR,gp_mid,-59.12,-38.2,202
Struthio linxiaensis,,species,420480,MN 12,7.75,4.9,72621,103.633331,35.450001,CN,gp_mid,102.6,34.85,604
Struthio karatheodoris,,species,369682,Miocene,11.608,5.333,72832,23.322222,38.921944,GR,gp_mid,24.12,36.74,307
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,72911,-69.719719,-50.208889,AR,gp_mid,-67.39,-49.56,291
Tinamidae,,family,39268,Miocene,17.5,16.3,72911,-69.719719,-50.208889,AR,gp_mid,-67.39,-49.56,291
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,72911,-71.069443,-50.254723,AR,gp_mid,-68.73,-49.56,291
Rhea,,genus,83729,Miocene,9,6.8,72946,-60.416668,-31.683332,AR,gp_mid,-58.63,-31.46,202
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,72947,-68.900002,-50.316666,AR,gp_mid,-66.6,-49.7,291
Rhea,,genus,83729,Miocene,9,6.8,72948,-63.549999,-37.216667,AR,gp_mid,-61.89,-36.93,202
Eudromia,,genus,39269,Miocene,9,6.8,72948,-63.549999,-37.216667,AR,gp_mid,-61.89,-36.93,202
Nothura,,genus,39271,Miocene,9,6.8,72948,-63.549999,-37.216667,AR,gp_mid,-61.89,-36.93,202
Nothura,,genus,39271,Miocene,9,6.8,72948,-64.283333,-36.700001,AR,gp_mid,-62.61,-36.4,202
Eudromia,,genus,39269,Miocene,9,4,72948,-64.668892,-35.693611,AR,gp_mid,-63.22,-35.41,291
Nothura,,genus,39271,Miocene,9,6.8,72948,-64.26667,-36.316666,AR,gp_mid,-62.58,-36.02,202
Nothura,,genus,39271,Miocene,9,6.8,72948,-64.550003,-37.216667,AR,gp_mid,-62.89,-36.92,291
Opisthodactylus horacioperezi,,species,422931,Miocene,21,17.5,72949,-67.75,-39.133331,AR,gp_mid,-64.15,-38.59,291
Rhea,,genus,83729,Pleistocene,0.126,0.0117,73155,-42.462223,-8.860833,BR,gp_mid,-42.46,-8.86,201
Dinornithidae,,family,39295,Holocene,0.0117,0,74304,170.98642,-44.176102,NZ,gp_mid,,,N/A
Anomalopteryx didiformis,,species,335241,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Anomalopteryx didiformis,,species,335241,Holocene,0.0117,0,74304,170.991867,-44.49007,NZ,gp_mid,,,N/A
Anomalopteryx didiformis,,species,335241,Holocene,0.0117,0,74304,171.039185,-44.437168,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,171.032547,-44.447861,NZ,gp_mid,,,N/A
Megalapteryx didinus,,species,369701,Holocene,0.0117,0,74304,171.011993,-44.422894,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,171.031403,-44.444241,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,171.032074,-44.44315,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,170.991867,-44.49007,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,74304,170.991867,-44.49007,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,171.032074,-44.44315,NZ,gp_mid,,,N/A
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,74304,171.011993,-44.422894,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,170.957794,-44.28183,NZ,gp_mid,,,N/A
Dinornis struthoides,,species,143738,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Dinornis novaezealandiae,,species,369698,Holocene,0.0117,0,74304,171.25,-44.443447,NZ,gp_mid,,,N/A
Dinornis giganteus,,species,143739,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Dinornis giganteus,,species,143739,Holocene,0.0117,0,74304,171.032547,-44.447861,NZ,gp_mid,,,N/A
Dinornis giganteus,,species,143739,Holocene,0.0117,0,74304,171.030136,-44.445122,NZ,gp_mid,,,N/A
Apteryx,,genus,39304,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,171.031403,-44.444241,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,171.03006,-44.448296,NZ,gp_mid,,,N/A
Apteryx,,genus,39304,Holocene,0.0117,0,74304,171.024933,-44.450432,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,171.031403,-44.444241,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,171.03006,-44.448296,NZ,gp_mid,,,N/A
Anomalopteryx,,genus,39296,Holocene,0.0117,0,74304,171.25,-44.443447,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Apteryx owenii,,species,399824,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Emeus,,genus,39298,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Pachyornis,,genus,39301,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Dinornis,,genus,39297,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Dinornis struthoides,,species,143738,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Dinornis,,genus,39297,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Dinornis giganteus,,species,143739,Holocene,0.0117,0,74304,170.781754,-44.191952,NZ,gp_mid,,,N/A
Apteryx,,genus,39304,Holocene,0.0117,0,74304,171.011993,-44.422894,NZ,gp_mid,,,N/A
Dinornithidae,,family,39295,Holocene,0.0117,0,74304,169.174576,-45.269279,NZ,gp_mid,,,N/A
Dinornithiformes,,order,39294,Holocene,0.0117,0,74304,171.020828,-44.194698,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Apteryx owenii,,species,399824,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Emeidae,,family,143729,Holocene,0.0117,0,74304,170.87088,-44.329788,NZ,gp_mid,,,N/A
Dinornithidae,,family,39295,Holocene,0.0117,0,74304,171.030731,-44.350609,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,170.779221,-44.265049,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,170.779221,-44.265049,NZ,gp_mid,,,N/A
Dinornis,,genus,39297,Holocene,0.0117,0,74304,170.779221,-44.265049,NZ,gp_mid,,,N/A
Euryapteryx geranoides,,species,143733,Holocene,0.0117,0,74304,170.779221,-44.265049,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,171.031906,-44.505459,NZ,gp_mid,,,N/A
Megalapteryx didinus,,species,369701,Holocene,0.0117,0,74304,170.958847,-44.269699,NZ,gp_mid,,,N/A
Apteryx australis,,species,369211,Holocene,0.0117,0,74304,171.030136,-44.445122,NZ,gp_mid,,,N/A
Emeus crassus,,species,143735,Holocene,0.0117,0,74304,171.030136,-44.445122,NZ,gp_mid,,,N/A
Pachyornis elephantopus,,species,143730,Holocene,0.0117,0,74304,171.030136,-44.445122,NZ,gp_mid,,,N/A
Dinornis struthoides,,species,143738,Holocene,0.0117,0,74304,171.030136,-44.445122,NZ,gp_mid,,,N/A
Galligeranoides boriensis,,species,428841,Eocene,56,47.8,74379,2.036667,43.332222,FR,gp_mid,8.53,34.46,305
Lithornis vulturinus,,species,246687,Eocene,55.8,48.6,74648,0.837778,51.394722,UK,gp_mid,,,N/A
Lithornis vulturinus,,species,246687,Eocene,56,47.8,74648,-0.683333,50.783333,UK,gp_mid,6.91,42.04,315
Lithornis vulturinus,,species,246687,Paleocene,59.2,56,74648,1.125833,51.373611,UK,gp_mid,9.21,41.45,315
Lithornis vulturinus,,species,246687,Eocene,56,47.8,74648,0.266667,51.700001,UK,gp_mid,,,N/A
Lithornis vulturinus,,species,246687,Eocene,56,47.8,74648,-0.134811,51.50246,UK,gp_mid,,,N/A
Lithornis vulturinus,,species,246687,Eocene,55.8,48.6,74648,0.837778,51.394722,UK,gp_mid,,,N/A
Nothoprocta perdicaria,,species,399866,Pleistocene,0.126,0.0117,77298,-71.166664,-34.5,CL,gp_mid,-71.17,-34.5,291
Struthio barbarus,,species,447802,Pleistocene,2.588,0.781,79068,2.752805,36.204037,DZ,gp_mid,,,N/A
Dromaius arleyekweke,,species,430441,Miocene,11.608,5.333,80134,134.866669,-22.866667,AU,gp_mid,134.86,-28.08,801
Sinoergilornis guangheensis,,species,452833,Miocene,11.608,5.333,80169,102.5,35.849998,CN,gp_mid,,,N/A
Struthio,,genus,39278,Pliocene,3.6,2.588,80990,40.766579,11.54763,ET,gp_mid,,,N/A
Struthio,,genus,39278,Pleistocene,2.588,1.806,80990,40.818771,11.61355,ET,gp_mid,,,N/A
Struthio,,genus,39278,Pliocene,5.333,2.588,81900,33.958611,-10.054722,MW,gp_mid,,,N/A
Opisthodactylus patagonicus,,species,246678,Miocene,17.5,16.3,82834,-70,-50,AR,gp_mid,-67.65,-49.34,291
Tinamidae,,family,39268,Miocene,17.5,16.3,82834,-70,-50,AR,gp_mid,-67.65,-49.34,291
